date,downloads, data
2014-11-15,115529,0.852455
2014-11-16,110387,0.822602
2014-11-17,193423,1.50819
2014-11-18,203953,1.62271
2014-11-19,204524,1.62618
2014-11-20,198278,1.58884
2014-11-21,187070,1.50821
2014-11-22,114968,0.862409
2014-11-23,107109,0.806212
2014-11-24,204438,1.59147
2014-11-25,205536,1.57173
2014-11-26,194423,1.54191
2014-11-27,163791,1.30188
2014-11-28,150686,1.15642
2014-11-29,109521,0.797558
2014-11-30,105316,0.785506
2014-12-01,171905,1.29688
2014-12-02,209763,1.50725
2014-12-03,193532,1.50822
2014-12-04,206100,1.67111
2014-12-05,182773,1.47023
2014-12-06,111980,0.857146
2014-12-07,103750,0.800765
2014-12-08,178063,1.36937
2014-12-09,201181,1.57665
2014-12-10,195269,1.53089
2014-12-11,187280,1.5005
2014-12-12,173429,1.4405
2014-12-13,107767,0.852409
2014-12-14,102593,0.821743
2014-12-15,181063,1.46026
2014-12-16,195316,1.59855
2014-12-17,184484,1.49288
2014-12-18,196848,1.53634
2014-12-19,180350,1.41218
2014-12-20,113463,0.903679
2014-12-21,106437,0.844745
2014-12-22,163143,1.29401
2014-12-23,165336,1.28766
2014-12-24,156146,1.03279
2014-12-25,103773,0.799431
2014-12-26,124946,0.896608
2014-12-27,105815,0.806414
2014-12-28,103893,0.818897
2014-12-29,146202,1.17421
2014-12-30,138606,1.12183
2014-12-31,117237,0.975156
2015-01-01,92424,0.717398
2015-01-02,120192,0.957728
2015-01-03,101056,0.810794
2015-01-04,108490,0.833562
2015-01-05,168980,1.35312
2015-01-06,179636,1.41181
2015-01-07,174979,1.39893
2015-01-08,180462,1.43083
2015-01-09,172450,1.39108
2015-01-10,113410,0.878354
2015-01-11,112090,0.865229
2015-01-12,177606,1.411
2015-01-13,190363,1.50567
2015-01-14,197193,1.57354
2015-01-15,193907,1.53375
2015-01-16,180219,1.42822
2015-01-17,117040,0.875844
2015-01-18,106964,0.842416
2015-01-19,169275,1.365
2015-01-20,200787,1.5775
2015-01-21,210771,1.77005
2015-01-22,206343,1.84236
2015-01-23,202689,1.80055
2015-01-24,129219,1.09432
2015-01-25,118730,1.03238
2015-01-26,200184,1.73986
2015-01-27,231376,1.98728
2015-01-28,220083,1.81426
2015-01-29,234408,2.03725
2015-01-30,220494,1.86049
2015-01-31,135461,1.11125
2015-02-01,124171,1.05127
2015-02-02,220429,1.81446
2015-02-03,224897,1.9181
2015-02-04,236447,2.06425
2015-02-05,232886,2.03497
2015-02-06,207278,1.85676
2015-02-07,143086,1.3265
2015-02-08,132864,1.22073
2015-02-09,243890,2.34498
2015-02-10,359437,3.66421
2015-02-11,223927,2.11374
2015-02-12,247769,2.56295
2015-02-13,205644,1.93463
2015-02-14,127090,1.23079
2015-02-15,119714,1.16061
2015-02-16,186400,1.8224
2015-02-17,199991,2.0057
2015-02-18,202373,2.06456
2015-02-19,207451,2.03758
2015-02-20,202303,1.96023
2015-02-21,127120,1.25447
2015-02-22,123142,1.21346
2015-02-23,205513,1.96292
2015-02-24,222980,2.24183
2015-02-25,219069,2.17664
2015-02-26,225407,2.20139
